id_Social;any;data;hora;idEstructura;;;;;;;;
415;2021;03/06/2021;10:09;BelpreixanaCanal;;;;;;;;
416;2021;03/06/2021;10:43;BelpreixanaSocarrades;;;;;;;;
417;2021;03/06/2021;10:57;BelpreixanaCabanaCaçadors;;;;;;;;
418;2021;03/06/2021;11:05;BelpreixanaCabanaCaçadors;;;;;;;;
419;2021;03/06/2021;11:10;TossalFonta;;;;;;;;
420;2021;03/06/2021;12:10;BelpreixanaDevesa;;;;;;;;
421;2021;03/06/2021;12:10;BelpreixanaDevesa;;;;;;;;
422;2021;03/06/2021;12:25;BelpreixanaPedreres;;;;;;;;
423;2021;03/06/2021;13:25;BelpreixanaMolars;;;;;;;;
424;2021;03/06/2021;14:52;Cadolles;;;;;;;;
425;2021;03/06/2021;15:58;Bellmunt22;;;;;;;;
426;2021;03/06/2021;16:32;BellmuntTrepatBaixO;;;;;;;;
427;2021;07/06/2021;9:17;casa abandonada Montrepos;;;;;;;;
428;2021;07/06/2021;11:23;Rabinat;;;;;;;;
429;2021;07/06/2021;18:12;RocaGuilla;;;;;;;;
430;2021;08/06/2021;14:12;Palmero;;;;;;;;
431;2021;17/06/2021;NA;RocaGuilla;;;;;;;;
